Date,Open,High,Low,Close,Volume
2005-02-25,1.6011170248299,1.6053484326065,1.5745723906934,1.5891022106361,915599001.963
2005-02-28,1.5949308258551,1.6119994904638,1.5700310769951,1.6021778566387,652834668.89643
2005-03-01,1.6104976386896,1.6109624975721,1.5773019466957,1.5894240360163,469397303.40707
2005-03-02,1.579983824864,1.603226768989,1.5743340015228,1.5757524170874,458146389.64185
2005-03-03,1.5858362790001,1.5861819432973,1.4721365641241,1.4926022744126,1411652737.7338
2005-03-04,1.4926022744126,1.5359771839874,1.4926022744126,1.5288612672476,756199850.90965
2005-03-07,1.5288612672476,1.5447737443793,1.5124958506919,1.5267634425471,450684134.55628
2005-03-08,1.4957490114634,1.505785195542,1.4322421364389,1.4473321709323,1021331700.0793
2005-03-09,1.4138861703094,1.4385594494575,1.3868766772904,1.4052445628784,1321898377.0218
2005-03-10,1.4138861703094,1.4379753959897,1.3964718414035,1.4224085831552,776853852.89059
2005-03-11,1.4337678271302,1.4495611096766,1.4213358318879,1.4382137851602,628805486.74992
2005-03-14,1.4469745871766,1.4567008653335,1.4114188423946,1.4399659455635,605314420.49065
2005-03-15,1.4517900484209,1.4693354913706,1.4375105371072,1.4628751448497,511200819.81085
2005-03-16,1.4718981749536,1.5111966297126,1.4563432815777,1.4708492626034,698101447.4871
2005-03-17,1.4838295529378,1.5314120313721,1.4756408849307,1.5090868855536,802716557.92348
2005-03-18,1.5457034621443,1.5515439968219,1.5176331373165,1.534379976545,959650165.76975
2005-03-21,1.547217233377,1.5703886607509,1.5307207027776,1.5606504631354,541121773.78987
2005-03-22,1.5617112949442,1.5700310769951,1.524176920047,1.5295525958421,551571713.25081
2005-03-23,1.5176331373165,1.5500183061306,1.5007909424197,1.5194925728464,610367518.31976
2005-03-24,1.5349640300127,1.5356434391487,1.5176331373165,1.5176331373165,352976966.27373
2005-03-28,1.5267634425471,1.534379976545,1.5165842249662,1.5187893247934,273767743.97807
2005-03-29,1.5187893247934,1.5295525958421,1.4820535536175,1.4910765837214,461292990.6321
2005-03-30,1.4997420300695,1.5285036834918,1.4936631062214,1.5285036834918,394004699.9538
2005-03-31,1.5158809769132,1.5184317410377,1.4853433241705,1.4881682358411,636276657.50894
2005-04-01,1.5033774649198,1.5066195576388,1.4488578616236,1.460431655852,640507811.12146
2005-04-04,1.4567008653335,1.4752833011749,1.4343638000564,1.4676906060941,580018681.64884
2005-04-05,1.4712068463591,1.5087650601734,1.4676906060941,1.4961065952192,558299006.25893
2005-04-06,1.5143433667634,1.5288612672476,1.5054395312447,1.5120309918094,415496958.13393
2005-04-07,1.5120309918094,1.5624264624557,1.5090868855536,1.5556442905547,507732184.05771
2005-04-08,1.5578613098404,1.5875884394033,1.5550602370869,1.5620688787,650042811.36964
2005-04-11,1.579983824864,1.5803414086198,1.4967740848966,1.4972508632376,822122369.81525
2005-04-12,1.5180860767404,1.5423064164645,1.500433358664,1.523473671994,982792024.05191
2005-04-13,1.5349640300127,1.53530969431,1.4424332734783,1.4658311705641,1409179717.677
2005-04-14,1.3856966508963,1.4277961784088,1.315753268268,1.3306168330494,2757597227.2013
2005-04-15,1.3076957143047,1.3302711687522,1.2601013164118,1.2625567248681,1729894803.1636
2005-04-18,1.2524967018725,1.296455664915,1.21411604542,1.2721399695227,1327328576.7126
